"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"347","2013-12-01 00:31:44","2013-12-01 00:37:31","310","State St & Smith St","40.68926942","-73.98912867","353","S Portland Ave & Hanson Pl","40.68539567","-73.97431458","19045","Subscriber","1995","1"
"337","2013-12-01 00:31:48","2013-12-01 00:37:25","490","8 Ave & W 33 St","40.751551","-73.993934","505","6 Ave & W 33 St","40.74901271","-73.98848395","20072","Subscriber","1986","1"
"593","2013-12-01 00:32:13","2013-12-01 00:42:06","511","E 14 St & Avenue B","40.72938685","-73.97772429","401","Allen St & Rivington St","40.72019576","-73.98997825","17629","Subscriber","1982","2"
"849","2013-12-01 00:33:08","2013-12-01 00:47:17","499","Broadway & W 60 St","40.76915505","-73.98191841","388","W 26 St & 10 Ave","40.749717753","-74.002950346","17729","Subscriber","1978","1"
"1350","2013-12-01 00:33:10","2013-12-01 00:55:40","355","Bayard St & Baxter St","40.71602118","-73.99974372","521","8 Ave & W 31 St","40.75044999","-73.99481051","15123","Subscriber","1994","1"
"235","2013-12-01 00:33:17","2013-12-01 00:37:12","518","E 39 St & 2 Ave","40.74780373","-73.9734419","433","E 13 St & Avenue A","40.72955361","-73.98057249","15673","Subscriber","1987","1"
"450","2013-12-01 00:33:29","2013-12-01 00:40:59","459","W 20 St & 11 Ave","40.746745","-74.007756","432","E 7 St & Avenue A","40.72621788","-73.98379855","18514","Subscriber","1977","2"
"632","2013-12-01 00:33:41","2013-12-01 00:44:13","308","St James Pl & Oliver St","40.71307916","-73.99851193","403","E 2 St & 2 Ave","40.72502876","-73.99069656","15948","Subscriber","1987","1"
"212","2013-12-01 00:33:42","2013-12-01 00:37:14","420","Clermont Ave & Lafayette Ave","40.68764484","-73.96968902","274","Lafayette Ave & Fort Greene Pl","40.68691865","-73.976682","14778","Customer",\N,"0"
"833","2013-12-01 00:33:43","2013-12-01 00:47:36","505","6 Ave & W 33 St","40.74901271","-73.98848395","480","W 53 St & 10 Ave","40.76669671","-73.99061728","20327","Subscriber","1989","1"
"401","2013-12-01 00:33:51","2013-12-01 00:40:32","382","University Pl & E 14 St","40.73492695","-73.99200509","284","Greenwich Ave & 8 Ave","40.7390169121","-74.0026376103","19901","Customer",\N,"0"
"357","2013-12-01 00:34:00","2013-12-01 00:39:57","325","E 19 St & 3 Ave","40.73624527","-73.98473765","445","E 10 St & Avenue A","40.72740794","-73.98142006","18205","Subscriber","1985","1"
"1391","2013-12-01 00:34:08","2013-12-01 00:57:19","532","S 5 Pl & S 4 St","40.710451","-73.960876","296","Division St & Bowery","40.71413089","-73.9970468","19993","Customer",\N,"0"
"225","2013-12-01 00:34:38","2013-12-01 00:38:23","402","Broadway & E 22 St","40.7403432","-73.98955109","496","E 16 St & 5 Ave","40.73726186","-73.99238967","17966","Subscriber","1986","1"
"397","2013-12-01 00:35:13","2013-12-01 00:41:50","152","Warren St & Church St","40.71473993","-74.00910627","128","MacDougal St & Prince St","40.72710258","-74.00297088","14608","Subscriber","1981","1"
"188","2013-12-01 00:35:14","2013-12-01 00:38:22","307","Canal St & Rutgers St","40.71427487","-73.98990025","296","Division St & Bowery","40.71413089","-73.9970468","17151","Subscriber","1962","1"
"244","2013-12-01 00:35:25","2013-12-01 00:39:29","258","DeKalb Ave & Vanderbilt Ave","40.68940747","-73.96885458","353","S Portland Ave & Hanson Pl","40.68539567","-73.97431458","19186","Subscriber","1974","1"
"686","2013-12-01 00:36:14","2013-12-01 00:47:40","293","Lafayette St & E 8 St","40.73028666","-73.9907647","410","Suffolk St & Stanton St","40.72066442","-73.98517977","15164","Subscriber","1990","1"
"296","2013-12-01 00:36:22","2013-12-01 00:41:18","317","E 6 St & Avenue B","40.72453734","-73.98185424","393","E 5 St & Avenue C","40.72299208","-73.97995466","16972","Subscriber","1984","1"
"1082","2013-12-01 00:36:36","2013-12-01 00:54:38","394","E 9 St & Avenue C","40.72521311","-73.97768752","460","S 4 St & Wythe Ave","40.71285887","-73.96590294","19879","Subscriber","1984","1"
"334","2013-12-01 00:37:01","2013-12-01 00:42:35","336","Sullivan St & Washington Sq","40.73047747","-73.99906065","496","E 16 St & 5 Ave","40.73726186","-73.99238967","18968","Subscriber","1972","1"
"353","2013-12-01 00:37:04","2013-12-01 00:42:57","366","Clinton Ave & Myrtle Ave","40.693261","-73.968896","289","Monroe St & Classon Ave","40.6845683","-73.95881081","19288","Subscriber","1989","1"
"1454","2013-12-01 00:37:05","2013-12-01 01:01:19","462","W 22 St & 10 Ave","40.74691959","-74.00451887","439","E 4 St & 2 Ave","40.7262807","-73.98978041","20343","Subscriber","1966","1"
"817","2013-12-01 00:38:01","2013-12-01 00:51:38","380","W 4 St & 7 Ave S","40.73401143","-74.00293877","432","E 7 St & Avenue A","40.72621788","-73.98379855","19998","Subscriber","1954","1"
"875","2013-12-01 00:38:03","2013-12-01 00:52:38","357","E 11 St & Broadway","40.73261787","-73.99158043","150","E 2 St & Avenue C","40.7208736","-73.98085795","19966","Subscriber","1974","1"
"557","2013-12-01 00:38:05","2013-12-01 00:47:22","466","W 25 St & 6 Ave","40.74395411","-73.99144871","511","E 14 St & Avenue B","40.72938685","-73.97772429","17820","Subscriber","1977","1"
"157","2013-12-01 00:38:30","2013-12-01 00:41:07","382","University Pl & E 14 St","40.73492695","-73.99200509","254","W 11 St & 6 Ave","40.73532427","-73.99800419","15727","Subscriber","1970","1"
"415","2013-12-01 00:38:37","2013-12-01 00:45:32","173","Broadway & W 49 St","40.76064679","-73.98442659","468","Broadway & W 55 St","40.7652654","-73.98192338","17355","Subscriber","1974","1"
"345","2013-12-01 00:38:40","2013-12-01 00:44:25","480","W 53 St & 10 Ave","40.76669671","-73.99061728","510","W 51 St & 6 Ave","40.7606597","-73.98042047","17310","Subscriber","1987","1"
"300","2013-12-01 00:39:39","2013-12-01 00:44:39","519","Pershing Square N","40.75188406","-73.97770164","476","E 31 St & 3 Ave","40.74394314","-73.97966069","16989","Subscriber","1983","1"
